,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters
187,CCAP.PA,Compagnie du Cambodge SA,True,Europe
188,CAPP.PA,Capgemini SE,True,Europe
189,CBLP.PA,Mersen SA,True,Europe
190,CARR.PA,Carrefour SA,True,Europe
191,SCOR.PA,Scor SE,True,Europe
192,ALKS.OQ,Alkermes Plc,True,Europe
193,AXAF.PA,AXA SA,True,Europe
194,VCTP.PA,Vicat SA,True,Europe
195,AM.PA,Dassault Aviation SA,True,Europe
196,ZURN.S,Zurich Insurance Group AG,True,Europe
197,ALDEV.PA,Devernois SA,True,Europe
198,ZWM.S,Zwahlen et Mayr SA,True,Europe
199,EDSP.PA,Electricite de Strasbourg SA,True,Europe
200,ICAD.PA,Icade SA,True,Europe
201,ODET.PA,Compagnie De l'odet SE,True,Europe
202,ESLX.PA,EssilorLuxottica SA,True,Europe
203,ESSF.PA,Esso Societe Anonyme Francaise SA,True,Europe
204,EURA.PA,Eurazeo SE,True,Europe
205,EEPC.PA,Soc D Explosifs Produits Chimiques SA,True,Europe
206,FRVIA.PA,Forvia SE,True,Europe
207,COVH.PA,Covivio Hotels SCA,True,Europe
208,FLYP.PA,Societe Fonciere Lyonnaise SA,True,Europe
209,FOUG.PA,Eiffage SA,True,Europe
210,CVO.PA,Covivio SA,True,Europe
211,ALBI.PA,Gascogne SA,True,Europe
212,GAUM.PA,Gaumont SA,True,Europe
213,VIRI.PA,Viridien SA,True,Europe
214,SGEF.PA,Vinci SA,True,Europe
215,VIV.PA,Vivendi SE,True,Europe
216,SOGN.PA,Societe Generale SA,True,Europe
217,GENC.PA,Rallye SA,True,Europe
218,ALGEV.PA,Gevelot SA,True,Europe
219,GFII.PA,Lisi SA,True,Europe
220,GFCP.PA,Gecina SA,True,Europe
221,GRBT.PA,Guerbet SA,True,Europe
222,IMTP.PA,Imerys SA,True,Europe
223,IFDE.PA,Groupe ETPO SA,True,Europe
224,RUBF.PA,Rubis SCA,True,Europe
225,JCQ.PA,Jacquet Metals SA,True,Europe
226,LOIM.PA,Klepierre SA,True,Europe
227,LECS.PA,Lectra SA,True,Europe
228,LINP.PA,Finatis SA,True,Europe
229,LOEX.PA,Fonciere Euris SA,True,Europe
230,OREP.PA,L'Oreal SA,True,Europe
231,MFBP.PA,Malteries Franco Belges SA,True,Europe
232,MANP.PA,Manitou BF SA,True,Europe
233,MWDP.PA,Wendel SE,True,Europe
234,BOLL.PA,Bollore SE,True,Europe
235,MAUP.PA,Etablissements Maurel et Prom SA,True,Europe
236,MICP.PA,Compagnie Generale des Etablissements Michelin SCA,True,Europe
237,LAGA.PA,Lagardere SA,True,Europe
238,ALATI.PA,Actia Group SA,True,Europe
239,ALEXA.PA,Exacompta Clairefontaine SA,True,Europe
240,PIEJF.PK,Rothschild & Co SCA,True,Europe
241,PADI.PA,Fiducial Real Estate SA,True,Europe
242,PERP.PA,Pernod Ricard SA,True,Europe
243,OPM.PA,Opmobility SE,True,Europe
244,ALPM.PA,Precia SA,True,Europe
245,PUBP.PA,Publicis Groupe SA,True,Europe
246,AREIT.PA,Altareit SCA,True,Europe
247,ROBF.PA,Robertet SA,True,Europe
248,TEPRF.PA,Teleperformance SE,True,Europe
249,SABL.PA,Saint Jean Groupe,True,Europe
250,SGOB.PA,Compagnie de Saint Gobain SA,True,Europe
251,ALNSC.PA,NSC Groupe SA,True,Europe
252,SCHN.PA,Schneider Electric SE,True,Europe
253,SEBF.PA,SEB SA,True,Europe
254,ALGIR.PA,Signaux Girod SA,True,Europe
255,SOON.S,Sonova Holding AG,True,Europe
256,EXHO.PA,Sodexo SA,True,Europe
257,ATOS.PA,Atos SE,True,Europe
258,IMAF.PA,Altarea SCA,True,Europe
259,CMCL.A,Caledonia Mining Corporation PLC,True,Europe
260,TFFP.PA,Television Francaise 1 SA,True,Europe
261,TTEF.PA,TotalEnergies SE,True,Europe
262,TEIF.PA,Societe de la Tour Eiffel SA,True,Europe
263,VLLP.PA,Vallourec SA,True,Europe
264,AIRF.PA,Air France KLM SA,True,Europe
265,VLOF.PA,Valeo SE,True,Europe
266,VEIL.PA,Viel et Compagnie SA,True,Europe
267,VIRB.PA,Virbac SA,True,Europe
268,DSCV.L,discoverIE Group plc,True,Europe
269,ALWA.L,Alliance Witan PLC,True,Europe
270,AIBG.I,AIB Group PLC,True,Europe
271,ALUG.L,Alumasc Group PLC,True,Europe
272,ICGT.L,ICG Enterprise Trust PLC,True,Europe
273,ANEA.L,Anglo-Eastern Plantations PLC,True,Europe
274,AHT.L,Ashtead Group PLC,True,Europe
275,PNL.L,Personal Assets Trust PLC,True,Europe
276,GL9.I,Glanbia PLC,True,Europe
277,AVON.L,Avon Technologies PLC,True,Europe
278,BAB.L,Babcock International Group PLC,True,Europe
279,BNKR.L,Bankers Investment Trust PLC,True,Europe
280,BIRG.I,Bank of Ireland Group PLC,True,Europe
281,BARC.L,Barclays PLC,True,Europe
282,BTRW.L,Barratt Redrow PLC,True,Europe
283,BAG.L,A G Barr PLC,True,Europe
284,BWY.L,Bellway PLC,True,Europe
285,FOUR.L,4imprint Group PLC,True,Europe
286,BKGH.L,Berkeley Group Holdings PLC,True,Europe
287,BALF.L,Balfour Beatty PLC,True,Europe
288,COA.L,Coats Group PLC,True,Europe
289,BOY.L,Bodycote PLC,True,Europe
290,BOOT.L,Henry Boot PLC,True,Europe
291,SPT.L,Spirent Communications plc,True,Europe
292,AON.N,Aon PLC,True,Europe
293,BAES.L,BAE Systems PLC,True,Europe
294,AGT.L,AVI Global Trust PLC,True,Europe
295,BLND.L,British Land Company PLC,True,Europe
296,BP.L,BP PLC,True,Europe
297,BT.L,BT Group PLC,True,Europe
298,GBGP.L,GB Group PLC,True,Europe
299,SINT.ST,SinterCast AB,True,Europe
300,BNZL.L,Bunzl plc,True,Europe
301,CNE.L,Capricorn Energy PLC,True,Europe
302,CLDN.L,Caledonia Investments PLC,True,Europe
303,CAME.L,Camellia PLC,True,Europe
304,CPI.L,Capita PLC,True,Europe
305,CGT.L,Capital Gearing Trust PLC,True,Europe
306,CAL.L,Capital & Regional PLC,True,Europe
307,CARRC.L,Carr's Group PLC,True,Europe
308,CGS.L,Castings PLC,True,Europe
309,CHG.L,Chemring Group PLC,True,Europe
310,CKN.L,Clarkson PLC,True,Europe
311,CBRO.L,Close Brothers Group PLC,True,Europe
312,CFX.L,Colefax Group PLC,True,Europe
313,AV.L,Aviva PLC,True,Europe
314,NTAS.L,North Atlantic Smaller Companies Investment Trust PLC,True,Europe
315,VSVS.L,Vesuvius plc,True,Europe
316,COSG.L,Costain Group PLC,True,Europe
317,CWK.L,Cranswick PLC,True,Europe
318,RSW.L,Renishaw PLC,True,Europe
319,CRDA.L,Croda International PLC,True,Europe
320,CRPR.L,James Cropper PLC,True,Europe
321,SDG.L,Sanderson Design Group PLC,True,Europe
322,ASL.L,Aberforth Smaller Companies Trust PLC,True,Europe
323,DLN.L,Derwent London PLC,True,Europe
324,DWHT.L,Dewhurst Group PLC,True,Europe
325,DPLM.L,Diploma PLC,True,Europe
326,EDIN.L,Edinburgh Investment Trust PLC,True,Europe
327,DGN.L,Asia Dragon Trust PLC,True,Europe
328,ELCO.L,Eleco PLC,True,Europe
329,RS1R.L,RS Group PLC,True,Europe
330,SXS.L,Spectris PLC,True,Europe
331,GSCT.L,Global Smaller Companies Trust PLC,True,Europe
332,TT.N,Trane Technologies PLC,True,Europe
333,FSJ.L,James Fisher and Sons PLC,True,Europe
334,JAM.L,JPMorgan American Investment Trust PLC,True,Europe
335,JFJ.L,JPMorgan Japanese Investment Trust PLC,True,Europe
336,JGGI.L,JPMorgan Global Growth & Income PLC,True,Europe
337,FCIT.L,F&C Investment Trust PLC,True,Europe
338,FSTA.L,Fuller Smith & Turner PLC,True,Europe
339,GFRD.L,Galliford Try Holdings PLC,True,Europe
340,GSK.L,GSK plc,True,Europe
341,GLEG.L,MJ Gleeson PLC,True,Europe
342,KBT.L,K3 Business Technology Group PLC,True,Europe
343,ZIG.L,ZIGUP PLC,True,Europe
344,GDWN.L,Goodwin PLC,True,Europe
345,GRI.L,Grainger PLC,True,Europe
346,ITV.L,ITV PLC,True,Europe
347,GPEG.L,Great Portland Estates PLC,True,Europe
348,EXPN.L,Experian PLC,True,Europe
349,GRG.L,Greggs PLC,True,Europe
350,HGT.L,HgCapital Trust PLC,True,Europe
351,PANI.L,Pantheon International PLC,True,Europe
352,DGE.L,Diageo PLC,True,Europe
353,HLMA.L,Halma PLC,True,Europe
354,JHD.L,James Halstead PLC,True,Europe
355,HMSO.L,Hammerson PLC,True,Europe
356,ELM.L,Elementis PLC,True,Europe
357,HAYS.L,Hays PLC,True,Europe
358,HEAD.L,Headlam Group PLC,True,Europe
359,HLCL.L,Helical PLC,True,Europe
360,MTO.L,Mitie Group PLC,True,Europe
361,HILS.L,Hill & Smith PLC,True,Europe
362,HTG.L,Hunting PLC,True,Europe
363,IMI.L,IMI PLC,True,Europe
364,INCH.L,Inchcape PLC,True,Europe
365,BGFD.L,Baillie Gifford Japan Trust PLC,True,Europe
366,JSG.L,Johnson Service Group PLC,True,Europe
367,JMAT.L,Johnson Matthey PLC,True,Europe
368,KMR.L,Kenmare Resources PLC,True,Europe
369,KYGa.I,Kerry Group PLC,True,Europe
370,KSP.I,Kingspan Group PLC,True,Europe
371,LAND.L,Land Securities Group PLC,True,Europe
372,LTHM.L,James Latham PLC,True,Europe
373,LWDB.L,Law Debenture Corporation PLC,True,Europe
374,EOTE.L,European Opportunities Trust PLC,True,Europe
375,LGEN.L,Legal & General Group PLC,True,Europe
376,LSC.L,London Security PLC,True,Europe
377,RNWH.L,Renew Holdings PLC,True,Europe
378,MACF.L,Macfarlane Group PLC,True,Europe
379,MSLH.L,Marshalls PLC,True,Europe
380,MRCH.L,Merchants Trust PLC,True,Europe
381,APTD.L,Aptitude Software Group PLC,True,Europe
382,MPAC.L,MPAC Group PLC,True,Europe
383,MNKS.L,Monks Investment Trust PLC,True,Europe
384,MGAMM.L,Morgan Advanced Materials PLC,True,Europe
385,MUT.L,Murray Income Trust PLC,True,Europe
386,MYI.L,Murray International Trust PLC,True,Europe
387,PAGPA.L,Paragon Banking Group PLC,True,Europe
388,BWNG.L,N Brown Group PLC,True,Europe
389,NXT.L,Next PLC,True,Europe
390,NICL.L,Nichols PLC,True,Europe
391,BRSC.L,Blackrock Smaller Companies Trust PLC,True,Europe
392,UU.L,United Utilities Group PLC,True,Europe
393,OXIG.L,Oxford Instruments PLC,True,Europe
394,PHI.L,Pacific Horizon Investment Trust PLC,True,Europe
395,PZC.L,PZ Cussons PLC,True,Europe
396,PSON.L,Pearson PLC,True,Europe
397,PINE.L,Pinewood Technologies Group PLC,True,Europe
398,PSN.L,Persimmon PLC,True,Europe
399,MEGPM.L,ME Group International PLC,True,Europe
400,PMGR.L,Portmeirion Group PLC,True,Europe
401,PORV.L,Porvair PLC,True,Europe
402,VANQ.L,Vanquis Banking Group PLC,True,Europe
403,PRU.L,Prudential PLC,True,Europe
404,VOD.L,Vodafone Group PLC,True,Europe
405,RAT.L,Rathbones Group PLC,True,Europe
406,REAH.L,R E A Holdings PLC,True,Europe
407,RKT.L,Reckitt Benckiser Group PLC,True,Europe
408,REL.L,RELX PLC,True,Europe
409,RTO.L,Rentokil Initial PLC,True,Europe
410,RCDO.L,Ricardo PLC,True,Europe
411,RCP.L,RIT Capital Partners PLC,True,Europe
412,ROR.L,Rotork PLC,True,Europe
413,MPE.L,M P Evans Group PLC,True,Europe
