,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
8600,SHEN.SI,Sheng Siong Group Ltd,True,Asia,Consumer Non-Cyclicals
8601,300274.SZ,Sungrow Power Supply Co Ltd,True,Asia,Energy
8602,601100.SS,Jiangsu Hengli Hydraulic Co Ltd,True,Asia,Industrials
8603,BA.BK,Bangkok Airways PCL,True,Asia,Industrials
8604,SWAY.KL,Sunway Bhd,True,Asia,Industrials
8605,3655.T,BrainPad Inc,True,Asia,Technology
8606,JUST.NS,Just Dial Ltd,True,Asia,Technology
8607,002625.SZ,Kuang-Chi Technologies Co Ltd,True,Asia,Industrials
8608,3656.T,KLab Inc,True,Asia,Technology
8609,601225.SS,Shaanxi Coal Industry Co Ltd,True,Asia,Energy
8610,4162.TWO,PharmaEngine Inc,True,Asia,Healthcare
8611,2117.T,Wellneo Sugar Co Ltd,True,Asia,Consumer Non-Cyclicals
8612,7817.T,Paramount Bed Holdings Co Ltd,True,Asia,Healthcare
8613,601555.SS,Soochow Securities Co Ltd,True,Asia,Financials
8614,RUCL.NS,Rupa & Company Ltd,True,Asia,Consumer Cyclicals
8615,002640.SZ,Global Top E-Commerce Co Ltd,True,Asia,Consumer Cyclicals
8616,ALEM.NS,Alembic Pharmaceuticals Ltd,True,Asia,Healthcare
8617,028260.KS,Samsung C&T Corp,True,Asia,Industrials
8618,3657.T,Pole To Win Holdings Inc,True,Asia,Technology
8619,HUDC.NS,Housing and Urban Development Corporation Ltd,True,Asia,Financials
8620,002635.SZ,Suzhou Anjie Technology Co Ltd,True,Asia,Technology
8621,PNBH.NS,PNB Housing Finance Ltd,True,Asia,Financials
8622,000333.SZ,Midea Group Co Ltd,True,Asia,Consumer Cyclicals
8623,AKPm.BK,Akkhie Prakarn Public Company Limited,True,Asia,Industrials
8624,PJW.BK,Panjawattana Plastic PCL,True,Asia,Basic Materials
8625,PCJE.NS,PC Jeweller Ltd,True,Asia,Consumer Cyclicals
8626,4164.TW,CHC Healthcare Group,True,Asia,Healthcare
8627,002648.SZ,Satellite Chemical Co Ltd,True,Asia,Basic Materials
8628,4536.TW,Topkey Corp,True,Asia,Consumer Cyclicals
8629,PTTGC.BK,PTT Global Chemical PCL,True,Asia,Basic Materials
8630,1598.TW,Dyaco International Inc,True,Asia,Consumer Cyclicals
